stock_id,name,close,vol_ratio,daily_return_pct,ma28_bias_pct,turnover_億,rsi14,inst_consec_days,yoy_revenue_pct,foreign_today,trust_today,foreign_3d,trust_3d,is_strong_confirm,is_early_breakout,total_score,early_score,composite_score,past_42d_pct
3706,神達,93.5,1.73,5.29,11.04,57.82,66.9,12,,11755114.0,75000.0,30534941.0,88000.0,True,True,80.55,69.95,75.04,21.3
6414,樺漢,375.5,1.54,4.16,10.24,9.84,66.6,11,,131408.0,234000.0,623855.0,129000.0,True,True,72.81,47.42,59.61,39.6
1326,台化,53.8,1.8,7.82,11.92,39.57,69.0,2,28.2,8000983.0,-411000.0,30986125.0,-418497.0,True,True,35.77,73.1,55.18,10.6
4938,和碩,91.2,1.7,3.05,11.21,35.73,75.7,5,,1005864.0,1475999.0,4643081.0,1357180.0,True,True,44.12,48.17,46.23,16.0
2458,義隆,167.0,1.56,3.09,12.66,8.87,69.1,3,6.3,-1004579.0,1331360.0,-787620.0,1342921.0,True,True,35.75,53.35,44.9,32.0
4739,康普,109.0,1.92,0.93,14.12,14.88,63.3,2,,1073562.0,0.0,2678104.0,0.0,True,True,31.68,49.26,40.82,33.3
4566,時碩工業,71.6,1.51,1.99,8.58,4.3,62.1,1,,27000.0,0.0,-434068.0,0.0,True,True,19.5,47.13,33.87,22.2
4915,致伸,76.0,1.76,2.84,4.52,8.3,63.5,1,,-2023800.0,292521.0,-3282408.0,101443.0,True,True,16.19,40.21,28.68,6.0
2609,陽明,54.9,1.78,4.17,8.65,28.35,67.6,7,13.9,20142573.0,-6005850.0,30966686.0,-6343542.0,True,False,52.14,0.0,25.03,3.6
1301,台塑,50.0,1.91,5.37,3.76,32.35,60.8,0,13.3,-8080808.0,0.0,1346849.0,-21831.0,False,True,0.0,47.04,24.46,3.6
5388,中磊,90.1,1.95,3.92,10.34,10.08,65.1,0,,-2739000.0,0.0,-668155.0,924.0,False,True,0.0,40.85,21.24,17.8
3515,華擎,253.5,2.03,4.75,8.12,6.45,65.3,4,,681590.0,6000.0,1060737.0,6000.0,True,False,38.34,0.0,18.4,21.0
8114,振樺電,259.5,1.52,5.49,19.69,5.45,65.4,1,,-186000.0,487000.0,-341246.0,487000.0,True,False,37.22,0.0,17.87,52.2
2359,所羅門,150.5,1.83,5.24,17.78,23.43,67.1,0,20.7,-282560.0,0.0,-8361.0,0.0,False,True,0.0,23.71,12.33,36.2
2615,萬海,84.4,1.65,2.93,8.21,15.18,64.2,2,13.1,4523606.0,-737.0,5003263.0,-3299.0,True,False,25.39,0.0,12.19,7.9
8103,瀚荃,113.5,1.74,1.79,1.5,5.85,57.7,0,,-1198200.0,0.0,-609892.0,0.0,False,True,0.0,18.91,9.83,39.8
