stock_id,name,close,vol_ratio,daily_return_pct,ma28_bias_pct,turnover_億,rsi14,inst_consec_days,yoy_revenue_pct,foreign_today,trust_today,foreign_3d,trust_3d,is_strong_confirm,is_early_breakout,total_score,early_score,composite_score,past_42d_pct
4991,環宇-KY,740.0,1.1,5.71,10.87,7.25,59.7,10,67.9,369050.0,0.0,1017849.0,-188000.0,True,True,47.69,56.65,51.72,90.5
6245,立端,85.1,2.13,3.03,4.55,2.6,64.5,3,31.5,748218.0,0.0,1388554.0,-2755.0,True,True,19.36,61.92,38.51,29.1
6146,耕興,220.5,1.14,1.85,0.96,1.01,54.9,1,9.6,24000.0,0.0,79000.0,6000.0,True,True,6.45,74.39,37.02,10.5
3709,鑫聯大投控,87.0,1.27,4.32,8.66,3.27,60.4,2,9.1,965000.0,0.0,2438120.0,0.0,True,True,19.99,52.32,34.54,21.3
6548,長科*,51.4,1.27,5.76,-1.81,2.28,51.0,3,24.5,1718001.0,-75000.0,2222001.0,-442000.0,False,True,0.0,75.27,33.87,9.8
3526,凡甲,370.0,1.14,4.08,12.1,2.9,61.5,2,40.3,-201000.0,465.0,-114997.0,13529.0,False,True,0.0,57.19,25.74,25.0
6425,易發,90.2,1.24,2.73,5.82,4.88,59.2,3,31.7,314000.0,0.0,883028.0,0.0,False,True,0.0,56.39,25.38,36.0
8182,加高,37.6,1.39,2.59,0.6,0.91,54.0,2,14.1,85982.0,0.0,239095.0,0.0,False,True,0.0,52.77,23.75,40.8
5236,凌陽創新,177.0,0.84,2.91,10.16,1.56,64.3,7,28.1,115000.0,0.0,624970.0,-2000.0,True,False,34.61,0.0,19.04,37.2
6679,鈺太,335.0,1.61,6.69,13.81,3.34,68.4,4,15.7,143000.0,16000.0,102000.0,28000.0,True,False,34.32,0.0,18.88,33.7
3663,鑫科,83.7,1.15,6.49,16.03,9.89,63.6,0,0.6,-810000.0,0.0,1183619.0,0.0,False,True,0.0,38.18,17.18,12.3
6509,聚和,49.15,1.61,3.15,11.42,3.76,66.2,4,9.8,1620050.0,5000.0,2479050.0,23000.0,True,False,28.53,0.0,15.69,6.2
5328,華容,33.95,1.66,9.87,25.52,11.07,71.9,3,13.4,336349.0,0.0,5835934.0,0.0,True,False,26.24,0.0,14.43,20.0
6291,沛亨,492.0,0.9,6.26,8.04,7.09,57.1,3,42.1,128050.0,110000.0,-27223.0,126000.0,True,False,23.5,0.0,12.93,36.1
3580,友威科,100.0,1.12,0.1,10.69,7.66,56.8,0,71.3,-1066668.0,0.0,-805004.0,0.0,False,True,0.0,25.56,11.5,41.2
5864,致和證,32.3,1.06,3.03,11.46,1.58,61.1,1,,54082.0,0.0,-1115957.0,0.0,True,False,18.18,0.0,10.0,28.9
3491,昇達科,1850.0,0.67,5.41,9.16,41.49,59.0,1,84.0,248431.0,-43286.0,113721.0,66534.0,True,False,17.27,0.0,9.5,32.1
3227,原相,229.0,1.04,2.46,7.86,5.46,63.4,2,4.2,726369.0,0.0,1276139.0,19441.0,True,False,16.95,0.0,9.32,20.2
5291,邑昇,78.8,1.08,9.9,15.36,2.79,62.0,1,69.5,662500.0,0.0,1370597.0,0.0,True,False,16.7,0.0,9.19,29.4
6613,朋億*,258.0,0.95,4.24,7.34,1.15,65.6,1,30.8,230000.0,0.0,240867.0,-3361.0,True,False,14.87,0.0,8.18,31.6
6121,新普,381.5,0.77,1.46,4.12,1.82,59.5,3,4.4,162568.0,-77444.0,548187.0,-63465.0,True,False,14.69,0.0,8.08,8.8
3152,璟德,172.0,0.58,4.88,1.86,1.62,53.8,2,1.6,421000.0,0.0,203025.0,0.0,True,False,12.14,0.0,6.68,21.6
3163,波若威,1045.0,2.32,9.77,-5.41,26.69,50.8,1,16.5,-70950.0,208000.0,-223450.0,129000.0,True,False,0.0,0.0,0.0,13.8
