stock_id,name,close,vol_ratio,daily_return_pct,ma28_bias_pct,turnover_億,rsi14,inst_consec_days,yoy_revenue_pct,foreign_today,trust_today,foreign_3d,trust_3d,is_strong_confirm,is_early_breakout,total_score,early_score,composite_score,past_42d_pct
3693,營邦,604.0,1.28,2.9,18.01,9.99,67.7,6,148.9,231321.0,0.0,654119.0,0.0,True,True,40.48,78.99,57.81,24.0
6739,竹陞科技,1180.0,1.13,3.51,17.3,3.36,62.5,1,99.5,2150.0,0.0,-113802.0,0.0,True,True,24.61,78.69,48.95,7.8
6532,瑞耘,95.3,2.18,6.84,19.26,1.42,68.8,4,49.1,82702.0,0.0,329282.0,0.0,True,False,40.96,0.0,22.53,4.0
4971,IET-KY,600.0,1.38,5.63,24.89,5.03,63.0,2,39.6,52838.0,0.0,33870.0,0.0,True,False,37.87,0.0,20.83,27.0
6640,均華,1140.0,1.9,7.55,18.55,7.3,61.1,3,266.0,-20759.0,17000.0,-63989.0,37000.0,True,False,37.26,0.0,20.49,1.3
3081,聯亞,3530.0,0.8,6.81,44.12,144.03,71.8,1,176.5,-132247.0,545000.0,445023.0,1460494.0,True,False,36.3,0.0,19.96,78.3
1815,富喬,126.5,0.94,0.8,38.59,101.29,76.1,4,68.1,388566.0,-1811000.0,26050772.0,-224000.0,True,False,34.67,0.0,19.07,21.6
3234,光環,185.0,0.76,1.93,39.47,5.96,77.3,3,96.9,277000.0,0.0,1010040.0,0.0,True,False,33.17,0.0,18.24,52.9
6187,萬潤,1345.0,0.73,-1.47,16.73,37.53,58.7,5,73.4,-36018.0,93000.0,838599.0,885894.0,True,False,31.02,0.0,17.06,26.3
3362,先進光,202.0,0.2,1.25,12.8,3.74,61.8,5,1.9,591868.0,0.0,1201784.0,0.0,True,False,28.49,0.0,15.67,7.2
3324,雙鴻,1250.0,1.71,9.65,25.63,117.55,74.2,3,116.7,2451839.0,560000.0,4789795.0,1019710.0,True,False,25.81,0.0,14.2,23.8
4979,華星光,609.0,0.14,-0.16,20.45,12.69,63.7,2,31.0,286364.0,-411000.0,-137606.0,2823000.0,True,False,25.6,0.0,14.08,35.2
6530,創威,88.1,0.72,1.38,11.74,1.05,57.8,1,19.5,180990.0,0.0,139948.0,0.0,True,False,16.21,0.0,8.92,4.9
