stock_id,name,close,vol_ratio,daily_return_pct,ma28_bias_pct,turnover_億,rsi14,inst_consec_days,yoy_revenue_pct,foreign_today,trust_today,foreign_3d,trust_3d,is_strong_confirm,is_early_breakout,total_score,early_score,composite_score
2408,南亞科,237.5,1.58,4.86,7.87,486.83,55.8,4,560.0,9472212.0,3348041.0,32670755.0,2034152.0,True,True,37.04,84.55,61.75
2027,大成鋼,38.05,1.65,4.53,1.95,14.13,57.0,2,25.1,19713430.0,1339000.0,13504501.0,1120000.0,True,True,19.61,81.59,51.84
3515,華擎,240.0,1.99,0.84,9.66,8.37,67.3,0,55.1,-702890.0,0.0,-614389.0,-3000.0,False,True,0.0,51.49,26.77
2455,全新,318.0,1.82,2.09,11.72,56.03,57.8,1,16.6,-1371405.0,566000.0,-3088091.0,439000.0,True,False,25.07,0.0,12.03
3033,威健,36.2,1.57,1.54,6.78,3.75,67.9,2,12.6,946000.0,-6346.0,4180202.0,-28501.0,True,False,22.12,0.0,10.62
