stock_id,name,close,vol_ratio,daily_return_pct,ma28_bias_pct,turnover_億,rsi14,inst_consec_days,yoy_revenue_pct,foreign_today,trust_today,foreign_3d,trust_3d,is_strong_confirm,is_early_breakout,total_score,early_score,composite_score,past_42d_pct
2413,環科,61.2,1.57,6.43,21.29,14.42,68.8,6,41.0,581390.0,0.0,7969230.0,0.0,True,True,64.48,70.54,67.63,18.6
6196,帆宣,548.0,1.5,8.73,18.04,22.29,70.9,11,64.9,375823.0,623000.0,-121190.0,675000.0,True,True,87.13,44.05,64.73,65.6
2401,凌陽,28.6,1.97,3.81,4.52,5.08,55.8,4,28.7,2757631.0,0.0,4054254.0,5000.0,True,True,32.17,60.72,47.02,30.3
4958,臻鼎-KY,552.0,1.92,4.35,15.54,280.35,62.8,2,37.4,-2703075.0,5134000.0,-1125524.0,5633003.0,True,True,36.47,54.23,45.71,119.5
2355,敬鵬,61.6,2.05,4.94,6.27,27.88,56.9,3,11.8,6868332.0,-4000.0,12492491.0,-8000.0,True,True,30.82,56.67,44.26,19.4
6691,洋基工程,689.0,2.43,8.16,7.39,18.32,63.4,4,82.4,1542863.0,-2000.0,1681298.0,-2000.0,True,False,41.38,0.0,19.86,8.7
2406,國碩,39.0,2.25,-1.02,14.06,47.16,60.8,4,121.2,16057013.0,0.0,22252363.0,0.0,True,False,39.7,0.0,19.06,22.1
6239,力成,347.5,3.1,4.35,18.78,322.85,61.5,1,30.2,-10975507.0,261000.0,-3745789.0,-9088797.0,True,False,38.55,0.0,18.5,59.8
2618,長榮航,38.7,1.51,2.65,7.74,29.41,66.9,4,22.1,37749153.0,-5395942.0,46425823.0,-15058044.0,True,False,33.82,0.0,16.23,10.1
