stock_id,name,close,vol_ratio,daily_return_pct,ma28_bias_pct,turnover_億,rsi14,inst_consec_days,yoy_revenue_pct,foreign_today,trust_today,foreign_3d,trust_3d,is_strong_confirm,is_early_breakout,total_score,early_score,composite_score,past_42d_pct
6894,衛司特,409.0,1.22,5.01,16.73,1.19,69.0,4,88.4,26196.0,0.0,188196.0,0.0,True,True,34.85,56.31,44.51,22.8
6584,南俊國際,731.0,2.71,-1.75,5.38,39.15,60.3,2,35.1,-430612.0,100000.0,-317579.0,148000.0,True,True,13.66,64.48,36.53,21.4
1815,富喬,109.0,1.36,2.83,1.31,63.27,52.8,1,53.2,7464184.0,0.0,11713804.0,2540000.0,False,True,0.0,80.01,36.0,5.3
8383,千附,64.2,1.8,5.94,5.43,2.25,61.4,1,38.3,318281.0,0.0,344612.0,0.0,True,True,15.99,59.88,35.74,43.8
6217,中探針,305.0,1.11,5.35,7.34,4.3,59.1,2,22.2,80045.0,0.0,51190.0,0.0,True,True,19.13,52.21,34.02,68.0
5452,佶優,35.1,1.43,0.43,6.57,2.02,57.8,1,6.5,252000.0,0.0,-1094438.0,0.0,False,True,0.0,75.09,33.79,4.8
6907,雅特力-KY,128.0,1.72,5.35,4.26,2.49,56.2,3,,164000.0,0.0,327135.0,0.0,True,True,20.21,48.59,32.98,8.5
8299,群聯,2770.0,1.1,7.57,18.88,242.37,64.3,3,236.6,298013.0,-36865.0,1351295.0,-279812.0,True,False,36.15,0.0,19.88,72.6
3293,鈊象,769.0,0.81,1.99,3.62,17.33,60.9,10,14.7,562898.0,471000.0,-546865.0,983133.0,True,False,36.12,0.0,19.87,2.4
3580,友威科,113.0,1.53,8.65,17.19,5.59,61.6,1,71.3,980105.0,0.0,1005352.0,0.0,True,False,30.11,0.0,16.56,58.3
4510,高鋒,54.3,1.49,7.74,13.16,6.36,63.5,2,45.8,2122840.0,0.0,3053840.0,0.0,True,False,28.09,0.0,15.45,26.3
3324,雙鴻,1145.0,1.7,7.51,6.5,69.05,62.0,3,40.9,1047554.0,0.0,1654327.0,10000.0,True,False,24.47,0.0,13.46,19.8
4953,緯軟,132.0,3.08,7.76,9.37,3.53,69.6,1,32.9,-585.0,4000.0,258456.0,4000.0,True,False,24.19,0.0,13.3,20.5
3693,營邦,632.0,1.67,8.78,4.39,15.62,56.9,3,10.8,123762.0,0.0,357093.0,0.0,True,False,23.4,0.0,12.87,25.4
3234,光環,118.5,1.18,9.72,13.79,4.15,61.4,3,12.2,19000.0,0.0,525654.0,0.0,True,False,22.8,0.0,12.54,32.3
5347,世界,179.0,1.71,6.55,11.49,123.87,63.2,1,9.6,7887715.0,-3753892.0,3783138.0,-448062.0,True,False,22.62,0.0,12.44,53.0
5351,鈺創,89.7,1.32,4.06,15.29,33.47,64.7,0,417.1,-1404821.0,0.0,5782651.0,0.0,False,True,0.0,26.91,12.11,26.3
1785,光洋科,157.0,1.12,-0.95,1.35,77.19,56.6,0,49.1,-7599410.0,-267369.0,-8840387.0,-266108.0,False,True,0.0,26.73,12.03,72.0
5309,系統電,75.9,1.44,10.0,16.35,13.12,71.6,1,7.6,4848840.0,0.0,4116920.0,3000.0,True,False,20.07,0.0,11.04,28.0
6788,華景電,425.5,1.26,0.47,-2.7,3.79,50.8,0,1.3,-11899.0,0.0,94376.0,1000.0,False,True,0.0,23.36,10.51,16.6
4971,IET-KY,789.0,1.27,5.2,4.71,2.94,56.7,0,25.2,-5214.0,0.0,23795.0,0.0,False,True,0.0,22.39,10.08,24.3
3227,原相,233.0,1.08,2.42,5.33,7.4,61.6,3,4.2,-997142.0,789000.0,-1691428.0,833000.0,True,False,17.35,0.0,9.54,25.6
6190,萬泰科,91.6,1.21,-0.43,18.41,15.88,77.8,0,39.7,-224069.0,0.0,-1646134.0,0.0,False,True,0.0,21.09,9.49,71.9
6121,新普,396.0,0.95,0.76,5.33,3.7,63.5,3,4.4,163961.0,90222.0,899628.0,34931.0,True,False,15.58,0.0,8.57,16.5
6568,宏觀,238.5,0.98,5.53,1.58,1.77,55.0,1,31.7,114177.0,0.0,77606.0,0.0,True,False,10.03,0.0,5.52,7.2
4768,晶呈科技,491.5,0.62,4.69,1.89,7.02,54.1,1,191.5,297734.0,0.0,-256106.0,0.0,True,False,8.89,0.0,4.89,4.6
6693,廣閎科,152.0,0.63,2.36,3.49,1.27,56.9,1,85.7,304846.0,0.0,288765.0,0.0,True,False,8.39,0.0,4.61,46.2
6231,系微,312.5,2.0,9.84,2.38,6.67,57.7,1,14.5,149948.0,0.0,145291.0,0.0,True,False,4.82,0.0,2.65,17.7
