stock_id,name,close,vol_ratio,daily_return_pct,ma28_bias_pct,turnover_億,rsi14,inst_consec_days,yoy_revenue_pct,foreign_today,trust_today,foreign_3d,trust_3d,is_strong_confirm,is_early_breakout,total_score,early_score,composite_score
3016,嘉晶,70.1,1.74,6.37,17.99,5.54,71.8,6,20.3,1798982.0,0.0,3575852.0,0.0,True,True,61.03,75.47,68.54
2301,光寶科,171.5,1.65,3.94,8.96,77.45,60.9,6,23.4,18558964.0,-1413807.0,31733568.0,-3891383.0,True,True,47.05,80.14,64.26
6669,緯穎,4220.0,1.58,6.03,13.4,157.48,69.2,3,13.9,-163049.0,735293.0,349828.0,1330923.0,True,True,39.71,75.32,58.23
2451,創見,265.5,1.86,5.99,5.8,35.32,59.4,2,380.6,-2161939.0,412821.0,-1985593.0,216121.0,True,True,26.3,85.72,57.2
2377,微星,93.8,1.57,2.29,2.75,9.29,57.0,4,-11.9,2191397.0,627000.0,2591440.0,1042085.0,True,True,27.57,75.28,52.38
4755,三福化,166.0,2.03,-0.3,12.19,7.07,65.3,3,-7.1,193189.0,0.0,733432.0,0.0,True,True,33.09,55.61,44.8
2464,盟立,86.1,1.93,-0.92,17.73,23.52,70.4,3,8.0,2823030.0,0.0,12443919.0,0.0,True,True,38.95,49.83,44.61
4906,正文,40.35,1.62,4.81,13.9,24.98,63.0,2,-39.8,-8450547.0,137773.0,-9118901.0,166897.0,True,True,34.29,53.95,44.51
8110,華東,49.5,1.54,7.14,-5.52,7.37,44.8,2,11.6,2644701.0,-203000.0,3220121.0,-603000.0,True,True,12.47,68.11,41.4
3035,智原,180.0,2.17,3.15,17.43,40.23,70.2,8,-69.4,1809825.0,-1000.0,4779325.0,-3000.0,True,False,68.2,0.0,32.74
3149,正達,46.3,2.38,-0.43,4.28,6.34,54.6,0,-25.1,-2578020.0,0.0,-737990.0,0.0,False,True,0.0,50.26,26.14
2441,超豐,94.3,2.5,4.43,4.42,25.34,55.3,0,14.3,-14755.0,-18000.0,3108071.0,-378000.0,False,True,0.0,49.95,25.97
2369,菱生,32.7,2.09,8.1,6.57,9.4,58.5,0,33.4,-3117932.0,0.0,222550.0,0.0,False,True,0.0,45.39,23.6
3605,宏致,71.6,2.35,6.07,15.75,6.37,69.1,0,3.4,-191118.0,0.0,689231.0,-51000.0,False,True,0.0,43.68,22.71
6209,今國光,68.2,1.69,3.49,22.5,9.57,70.4,2,75.6,1360863.0,-98000.0,1193729.0,-214000.0,True,False,43.75,0.0,21.0
3231,緯創,144.5,1.56,2.85,10.11,124.31,67.2,5,117.7,27712431.0,1109125.0,69878729.0,772149.0,True,False,42.11,0.0,20.21
