stock_id,name,close,vol_ratio,daily_return_pct,ma28_bias_pct,turnover_億,rsi14,inst_consec_days,yoy_revenue_pct,foreign_today,trust_today,foreign_3d,trust_3d,is_strong_confirm,is_early_breakout,total_score,early_score,composite_score,past_42d_pct
2618,長榮航,42.75,1.57,1.91,0.88,30.57,57.5,18,26.6,34341534.0,727000.0,69603507.0,2536322.0,True,True,93.04,58.12,74.88,22.8
2610,華航,21.75,2.25,2.35,-0.72,23.72,54.3,11,28.8,52784372.0,664000.0,66178247.0,5494000.0,False,True,0.0,83.79,43.57,17.9
1101,台泥,24.8,1.93,1.64,4.17,12.27,61.1,3,32.4,17795221.0,12000.0,34704148.0,54000.0,True,False,25.17,0.0,12.08,4.0
