stock_id,name,close,vol_ratio,daily_return_pct,ma28_bias_pct,turnover_億,rsi14,inst_consec_days,yoy_revenue_pct,foreign_today,trust_today,foreign_3d,trust_3d,is_strong_confirm,is_early_breakout,total_score,early_score,composite_score,past_42d_pct
2002,中鋼,19.1,1.73,1.33,1.35,17.12,56.3,8,9.6,42718010.0,-12000.0,84894797.0,-72000.0,True,True,44.75,76.4,61.21,5.2
2425,承啟,45.8,2.52,1.44,10.52,4.98,63.3,5,375.6,-1980884.0,39000.0,-490217.0,117000.0,True,True,43.59,67.88,56.22,32.0
4938,和碩,87.2,1.77,3.32,4.57,25.49,58.0,3,15.9,12446696.0,-2088000.0,26703985.0,-6578638.0,True,True,26.4,81.45,55.03,8.1
1326,台化,71.7,1.73,1.56,17.73,119.83,64.0,2,11.6,19835389.0,0.0,40260132.0,13000.0,True,True,35.88,48.74,42.57,57.4
3665,貿聯-KY,2285.0,1.53,8.04,14.92,141.49,59.2,8,63.8,392485.0,1278643.0,-998153.0,2986552.0,True,False,68.04,0.0,32.66,2.7
3231,緯創,173.5,2.48,5.79,12.12,380.0,66.0,5,53.8,79016661.0,1307604.0,111371178.0,-2183425.0,True,False,50.0,0.0,24.0,20.1
