stock_id,name,close,daily_return_pct,vol_ratio,rsi14,ma28_bias_pct,inst_consec_days,yoy_revenue_pct,past_42d_pct,composite_score,is_early_breakout,is_strong_confirm
6548,長科*,54.9,5.78,1.97,60.2,4.66,5,24.5,20.4,50.47,True,True
6244,茂迪,30.65,4.25,2.0,60.9,7.46,3,19.3,6.2,47.83,True,True
3402,漢科,143.0,2.51,2.25,60.8,5.15,3,20.1,15.3,46.7,True,True
4979,華星光,655.0,3.97,1.19,58.6,6.52,9,7.7,72.4,44.8,True,True
8932,智通*,105.5,4.46,1.43,63.5,11.38,1,27.2,29.1,44.5,True,True
