stock_id,name,close,vol_ratio,daily_return_pct,ma28_bias_pct,turnover_億,rsi14,inst_consec_days,yoy_revenue_pct,foreign_today,trust_today,foreign_3d,trust_3d,is_strong_confirm,is_early_breakout,total_score,early_score,composite_score,past_42d_pct
8096,擎亞,166.5,2.64,-1.77,14.62,46.94,63.0,2,433.5,-1532690.0,10000.0,-3284256.0,340000.0,True,True,23.58,68.8,43.93,69.4
3211,順達,454.0,2.49,6.2,7.94,128.44,58.7,2,20.6,5020674.0,2881000.0,2174893.0,2882000.0,True,True,23.23,58.33,39.02,12.7
8091,翔名,295.0,1.48,5.92,12.02,7.89,61.1,1,71.7,440604.0,0.0,350964.0,0.0,True,True,22.23,58.21,38.42,47.5
6223,旺矽,7080.0,0.96,9.6,11.21,50.13,58.0,6,65.1,113443.0,82500.0,-70908.0,228961.0,True,False,26.93,0.0,14.81,42.0
3362,先進光,180.0,1.72,7.14,4.08,11.92,54.4,1,,20900.0,0.0,466788.0,0.0,True,False,15.45,0.0,8.5,76.5
3498,陽程,126.5,1.49,5.86,1.78,5.95,54.0,0,,-243000.0,0.0,-2035246.0,0.0,False,True,0.0,16.8,7.56,23.4
5351,鈺創,98.2,1.07,9.97,9.91,31.79,60.5,1,657.5,2344650.0,0.0,9365609.0,5000.0,True,False,10.73,0.0,5.9,22.6
4931,新盛力,255.0,1.59,-6.25,1.97,51.63,54.6,1,145.1,568415.0,0.0,-313789.0,0.0,True,False,1.37,0.0,0.75,36.4
