stock_id,name,close,vol_ratio,daily_return_pct,ma28_bias_pct,turnover_億,rsi14,inst_consec_days,yoy_revenue_pct,foreign_today,trust_today,foreign_3d,trust_3d,is_strong_confirm,is_early_breakout,total_score,early_score,composite_score,past_42d_pct
1216,統一,77.5,1.51,1.71,1.15,13.05,57.3,9,,5570730.0,349000.0,12427955.0,430073.0,True,True,48.91,69.66,59.7,4.0
2637,慧洋-KY,91.8,2.92,3.49,9.3,10.21,68.5,2,,1005769.0,-6000.0,1186309.0,-12000.0,True,True,30.12,77.33,54.67,18.6
2609,陽明,59.0,1.7,4.98,15.11,65.95,77.8,10,,14344696.0,121559.0,13247851.0,253780.0,True,False,77.18,0.0,37.05,15.0
2466,冠西電,99.0,1.58,2.06,-1.17,2.56,56.9,1,,274529.0,-3000.0,114538.0,-3000.0,False,True,0.0,48.01,24.97,97.6
2605,新興,36.75,2.96,4.4,15.15,25.92,75.6,0,,-60943.0,-2000.0,281105.0,-2000.0,False,True,0.0,41.25,21.45,18.5
