stock_id,name,close,vol_ratio,daily_return_pct,ma28_bias_pct,turnover_億,rsi14,inst_consec_days,yoy_revenue_pct,foreign_today,trust_today,foreign_3d,trust_3d,is_strong_confirm,is_early_breakout,total_score,early_score,composite_score,past_42d_pct
2377,微星,142.0,1.71,3.65,2.42,33.62,57.6,25,,-645182.0,2374000.0,-2199474.0,8042837.0,True,True,131.02,47.93,87.81,42.0
6949,沛爾生醫-創,960.0,1.69,4.35,20.67,4.58,69.2,1,50.2,63092.0,0.0,-3908.0,0.0,True,True,37.41,49.84,43.87,39.1
3090,日電貿,303.5,1.51,-0.82,9.45,5.22,56.8,4,32.4,346503.0,-217000.0,915003.0,-816000.0,False,True,0.0,57.93,30.12,167.4
8104,錸寶,41.75,1.93,4.24,4.0,3.48,58.7,0,,-1115000.0,0.0,-166746.0,0.0,False,True,0.0,19.25,10.01,23.7
2369,菱生,42.7,1.56,2.77,12.87,21.5,60.2,0,,-11482750.0,0.0,-1607790.0,0.0,False,True,0.0,16.64,8.65,39.1
