stock_id,name,close,vol_ratio,daily_return_pct,ma28_bias_pct,turnover_億,rsi14,inst_consec_days,yoy_revenue_pct,foreign_today,trust_today,foreign_3d,trust_3d,is_strong_confirm,is_early_breakout,total_score,early_score,composite_score,past_42d_pct
2609,陽明,54.7,2.87,6.01,7.56,52.41,67.5,10,34.6,1716323.0,19559.0,-2498648.0,163875.0,True,True,69.51,86.95,78.58,7.3
2603,長榮,231.5,2.4,5.71,12.84,87.85,74.4,8,43.1,7906374.0,7781.0,6112380.0,2047532.0,True,True,64.89,83.93,74.79,5.0
3005,神基,121.5,2.69,4.29,7.03,16.78,69.5,3,16.1,1321587.0,-4000.0,2387835.0,-20081.0,True,True,32.4,86.64,60.6,19.7
3189,景碩,905.0,3.57,4.99,18.08,348.03,63.7,4,35.9,681571.0,-961000.0,2059064.0,-1984989.0,True,True,53.95,63.88,59.11,41.0
2634,漢翔,71.0,2.32,0.57,12.03,94.04,65.4,2,20.0,6343082.0,0.0,17039421.0,-12000.0,True,True,28.96,62.61,46.46,51.9
3617,碩天,260.0,1.51,4.0,16.43,5.16,72.5,3,13.6,800615.0,0.0,871813.0,0.0,True,True,41.02,47.87,44.58,22.9
6214,精誠,175.5,3.9,2.03,20.25,41.4,74.4,0,31.8,-23000.0,0.0,27129.0,-2409.0,False,True,0.0,31.28,16.27,24.5
2392,正崴,43.3,2.2,0.58,17.97,8.94,71.2,1,32.8,1720402.0,0.0,2482914.0,0.0,True,False,31.23,0.0,14.99,7.4
