stock_id,name,close,vol_ratio,daily_return_pct,ma28_bias_pct,turnover_億,rsi14,inst_consec_days,yoy_revenue_pct,foreign_today,trust_today,foreign_3d,trust_3d,is_strong_confirm,is_early_breakout,total_score,early_score,composite_score,past_42d_pct
1503,士電,221.0,2.84,8.87,12.73,45.93,68.7,4,32.5,967395.0,0.0,2036848.0,1000.0,True,True,50.32,78.59,65.02,11.9
6005,群益證,35.0,1.69,5.9,15.87,7.48,76.9,4,301.6,6624469.0,-1212970.0,12622882.0,-2262213.0,True,True,48.14,80.27,64.85,24.1
1303,南亞,95.5,1.63,5.18,8.36,117.1,62.8,4,19.4,45684302.0,1300732.0,33863406.0,1462433.0,True,True,37.85,80.68,60.12,25.7
8131,福懋科,68.9,2.31,3.45,7.26,10.26,58.3,3,40.5,3464018.0,0.0,5405314.0,-1000.0,True,True,31.42,84.21,58.87,9.5
8070,長華*,50.3,1.82,1.51,6.95,5.8,65.5,4,28.1,2760026.0,-518352.0,3721682.0,-532699.0,True,True,32.72,80.69,57.66,9.9
6691,洋基工程,674.0,1.55,3.69,4.22,7.07,63.3,2,66.7,437367.0,0.0,617347.0,4000.0,True,True,20.93,79.94,51.62,9.6
8112,至上,86.0,1.55,3.24,1.24,31.81,53.7,1,56.0,3753049.0,-5030.0,-8098028.0,-8030.0,True,True,11.73,80.19,47.33,3.7
2379,瑞昱,605.0,1.52,2.54,8.44,36.91,64.5,4,11.3,647043.0,461386.0,798866.0,962374.0,True,True,34.88,53.22,44.42,23.7
6191,精成科,98.0,2.01,1.87,-1.88,14.22,51.4,7,1.8,1966236.0,381000.0,3410358.0,550000.0,False,True,0.0,78.18,40.65,4.1
1514,亞力,125.0,1.82,0.81,6.67,18.36,63.0,0,40.1,-1092169.0,0.0,741683.0,0.0,False,True,0.0,51.23,26.64,9.2
1409,新纖,18.9,2.82,7.08,11.21,10.92,73.1,0,25.1,-2799165.0,-4000.0,9914187.0,2000.0,False,True,0.0,48.22,25.07,20.4
2329,華泰,58.5,1.65,0.17,1.14,13.63,54.2,0,4.8,-75433.0,0.0,1704120.0,77000.0,False,True,0.0,46.21,24.03,6.2
1513,中興電,169.0,1.73,2.42,9.54,52.51,70.5,0,5.9,-4565142.0,-3320.0,-3194524.0,1011520.0,False,True,0.0,45.55,23.69,6.6
8016,矽創,301.0,1.77,3.97,17.22,13.61,70.7,3,37.3,158793.0,4129.0,-48007.0,259.0,True,False,43.0,0.0,20.64,52.8
2606,裕民,72.5,1.6,3.57,13.36,9.58,77.9,3,38.7,2101195.0,443000.0,4719312.0,285000.0,True,False,37.33,0.0,17.92,20.0
