stock_id,name,close,vol_ratio,daily_return_pct,ma28_bias_pct,turnover_億,rsi14,inst_consec_days,yoy_revenue_pct,foreign_today,trust_today,foreign_3d,trust_3d,is_strong_confirm,is_early_breakout,total_score,early_score,composite_score,past_42d_pct
3014,聯陽,139.0,1.52,-0.36,5.47,5.1,66.0,24,5.3,1292908.0,137416.0,2261768.0,219667.0,True,True,125.2,74.97,99.08,7.8
6526,達發,764.0,2.16,5.52,21.66,37.71,76.6,11,26.1,1459513.0,-43000.0,2979571.0,-44000.0,True,True,89.65,73.76,81.39,30.2
2449,京元電子,317.0,1.7,5.14,21.52,232.56,70.8,7,31.6,16162022.0,2979171.0,39975652.0,7391478.0,True,True,68.53,72.22,70.45,17.0
3035,智原,203.0,2.26,6.28,14.24,31.11,67.8,5,29.9,2687525.0,0.0,4767890.0,0.0,True,True,52.32,83.54,68.55,2.8
8150,南茂,105.5,2.52,2.43,16.7,136.12,68.4,5,33.3,9867370.0,0.0,37671717.0,0.0,True,True,51.99,79.55,66.32,16.2
4906,正文,38.7,2.27,0.52,7.22,6.88,61.1,5,56.1,2250100.0,0.0,4013546.0,0.0,True,True,37.7,84.55,62.06,13.5
6116,彩晶,15.45,3.42,4.39,8.6,37.31,62.5,2,8.0,8390202.0,0.0,20441696.0,0.0,True,True,31.58,85.17,59.45,12.0
3715,定穎投控,128.5,2.84,8.44,8.05,20.68,56.2,1,84.0,2457318.0,0.0,2076334.0,0.0,True,True,28.84,83.49,57.26,10.3
4958,臻鼎-KY,489.0,1.51,4.04,1.78,224.11,51.3,2,41.1,9732801.0,1129595.0,-1347123.0,-2466983.0,True,True,18.2,80.44,50.56,1.5
2436,偉詮電,71.0,1.78,1.43,6.37,6.38,59.9,1,32.1,1497647.0,0.0,-276202.0,0.0,True,True,16.96,81.54,50.54,19.7
3380,明泰,32.95,2.26,-0.6,12.98,4.32,68.3,0,66.9,-361489.0,0.0,317363.0,0.0,False,True,0.0,52.99,27.55,10.6
3714,富采,68.9,1.89,0.15,10.99,31.48,65.4,0,14.2,-2601978.0,0.0,-1238158.0,1000.0,False,True,0.0,46.85,24.36,26.2
