stock_id,name,close,vol_ratio,daily_return_pct,ma28_bias_pct,turnover_億,rsi14,inst_consec_days,yoy_revenue_pct,foreign_today,trust_today,foreign_3d,trust_3d,is_strong_confirm,is_early_breakout,total_score,early_score,composite_score,past_42d_pct
6669,緯穎,6785.0,1.66,5.36,14.78,127.78,68.0,4,39.2,-459725.0,310893.0,-581035.0,355050.0,True,True,45.64,80.13,63.57,58.5
3017,奇鋐,3155.0,1.62,6.95,17.36,159.94,62.8,6,57.4,-622069.0,440846.0,-148732.0,537682.0,True,False,60.35,0.0,28.97,39.9
3714,富采,62.7,2.38,5.2,14.19,16.94,60.9,0,24.9,-1769758.0,0.0,-435405.0,2000.0,False,True,0.0,53.95,28.05,1.8
