stock_id,name,close,vol_ratio,daily_return_pct,ma28_bias_pct,turnover_億,rsi14,inst_consec_days,yoy_revenue_pct,foreign_today,trust_today,foreign_3d,trust_3d,is_strong_confirm,is_early_breakout,total_score,early_score,composite_score,past_42d_pct
5904,寶雅,720.0,2.04,6.04,8.07,10.73,64.7,1,,122802.0,300.0,-165084.0,2300.0,True,True,18.39,49.84,32.54,29.3
5351,鈺創,103.0,2.39,6.74,17.8,48.91,61.9,5,,8667803.0,427000.0,28405338.0,457000.0,True,False,42.24,0.0,23.23,19.5
6187,萬潤,1175.0,1.57,9.81,16.67,49.91,59.3,3,,-26389.0,116550.0,743853.0,179484.0,True,False,25.99,0.0,14.29,4.9
6419,京晨科,149.5,2.42,9.93,8.47,0.97,59.0,2,,127340.0,0.0,185565.0,0.0,True,False,14.67,0.0,8.07,6.8
4939,亞電,61.4,1.32,3.37,1.93,11.03,53.0,0,,-97944.0,0.0,237886.0,0.0,False,True,0.0,16.08,7.24,2.8
6907,雅特力-KY,195.0,1.36,9.86,3.91,4.7,54.6,1,,221000.0,0.0,-662000.0,0.0,True,False,4.6,0.0,2.53,15.4
