stock_id,name,close,vol_ratio,daily_return_pct,ma28_bias_pct,turnover_億,rsi14,inst_consec_days,yoy_revenue_pct,foreign_today,trust_today,foreign_3d,trust_3d,is_strong_confirm,is_early_breakout,total_score,early_score,composite_score,past_42d_pct
1717,長興,71.9,1.64,2.71,6.86,13.09,59.4,16,23.9,3399690.0,391541.0,8425177.0,1042779.0,True,True,91.72,80.05,85.65,6.0
8112,至上,100.0,2.58,8.23,16.08,72.02,68.1,8,333.5,33079104.0,-5151.0,45481229.0,-54786.0,True,True,72.2,76.57,74.47,8.0
2103,台橡,28.65,2.62,4.18,22.35,10.8,74.1,2,32.5,11591563.0,0.0,18056589.0,0.0,True,True,46.54,55.42,51.16,36.1
4763,材料-KY,51.6,1.64,3.2,5.69,7.78,62.0,1,32.1,6002384.0,-3135.0,9162677.0,-1135.0,True,True,17.77,80.51,50.39,16.6
8150,南茂,99.0,2.06,6.57,2.0,96.35,55.1,0,43.6,-3596525.0,-5712.0,-1512575.0,-5712.0,False,True,0.0,44.92,23.36,12.1
3003,健和興,70.5,2.12,2.62,14.18,3.49,68.3,5,93.0,1429894.0,0.0,3031894.0,0.0,True,False,48.26,0.0,23.16,10.0
2316,楠梓電,172.0,1.52,5.2,0.69,5.81,53.9,1,74.4,-243650.0,459.0,-721585.0,459.0,True,True,13.44,27.78,20.9,9.6
6672,騰輝電子-KY,257.0,1.6,2.19,4.51,17.77,58.3,0,90.8,-852100.0,0.0,-685106.0,0.0,False,True,0.0,32.26,16.78,17.6
3532,台勝科,284.0,2.09,0.35,-25.53,21.52,39.3,1,28.8,482632.0,-1289392.0,-935630.0,-1824392.0,True,False,0.0,0.0,0.0,5.2
