stock_id,name,close,vol_ratio,daily_return_pct,ma28_bias_pct,turnover_億,rsi14,inst_consec_days,yoy_revenue_pct,foreign_today,trust_today,foreign_3d,trust_3d,is_strong_confirm,is_early_breakout,total_score,early_score,composite_score,past_42d_pct
5434,崇越,596.0,1.62,7.19,18.32,24.91,71.8,15,32.9,831260.0,208107.0,285463.0,1215189.0,True,True,107.97,45.1,75.28,47.9
8150,南茂,122.5,1.91,7.46,18.99,220.31,60.9,2,37.2,28682916.0,-207000.0,17142910.0,-216000.0,True,True,44.29,42.62,43.42,51.4
6770,力積電,76.5,2.04,0.53,3.85,345.65,54.7,3,68.8,43775659.0,12160000.0,86331471.0,11902000.0,True,True,23.81,60.81,43.05,21.8
1560,中砂,728.0,1.93,-1.89,3.18,23.19,53.5,2,16.4,370359.0,-294000.0,1016274.0,-540000.0,True,True,15.25,59.62,38.32,13.4
2105,正新,33.55,1.78,2.13,4.84,6.2,62.3,11,15.0,11282519.0,-2020459.0,16540433.0,-1715378.0,True,False,64.77,0.0,31.09,3.5
3094,聯傑,40.95,2.4,1.24,8.04,5.47,55.2,0,74.1,-1637916.0,0.0,-1575492.0,0.0,False,True,0.0,32.18,16.73,25.4
2467,志聖,620.0,1.7,5.26,5.55,27.73,53.4,2,94.1,1040322.0,-2711.0,576834.0,7289.0,True,False,24.77,0.0,11.89,5.6
6533,晶心科,228.0,1.92,0.44,11.89,8.33,63.8,1,247.0,92869.0,0.0,139236.0,0.0,True,False,23.48,0.0,11.27,0.4
2912,統一超,245.5,1.51,0.41,6.43,12.48,68.4,1,6.3,-92544.0,606713.0,1478293.0,782139.0,True,False,15.34,0.0,7.36,7.9
3450,聯鈞,480.0,1.54,0.0,-6.43,27.8,45.8,2,88.2,271202.0,1000.0,-1833620.0,0.0,True,False,4.03,0.0,1.93,21.4
